video,t1,t2,t3
3_5_4_2_np.mp4,,,
3_6_1_1_np.mp4,17,28,
3_6_2_2_np.mp4,19,26,
3_6_3_1_np.mp4,,,
3_6_4_2_np.mp4,21,34,
3_7_1_2_np.mp4,,,
3_7_2_1_np.mp4,,,
3_7_3_1_np.mp4,18,,
3_7_4_1_np.mp4,,,
3_7_5_2_np.mp4,,,
3_7_6_1_np.mp4,,,
4_1_1_1_np.mp4,37,,
4_1_2_1_np.mp4,,,
4_1_3_2_np.mp4,,,
4_1_4_1_np.mp4,,,
4_1_5_1_np.mp4,27,32,
4_1_6_1_np.mp4,21,36,
4_1_7_2_np.mp4,,,
4_1_8_1_np.mp4,,,
4_2_1_1_np.mp4,,,
4_2_2_1_np.mp4,,,
4_2_3_1_np.mp4,23,40,
4_2_4_2_np.mp4,,,
4_2_5_1_np.mp4,,,
4_3_10_1_np.mp4,,,
4_3_11_1_np.mp4,14,31,
4_3_12_1_np.mp4,,,
4_3_1_1_np.mp4,,,
4_3_2_2_np.mp4,,,
4_3_3_1_np.mp4,,,
4_3_4_2_np.mp4,24,40,
4_3_5_1_np.mp4,33,55,
4_3_6_1_np.mp4,16,27,
4_3_7_1_np.mp4,19,37,
4_3_8_2_np.mp4,,,
4_3_9_1_np.mp4,30,40,
4_4_1_1_np.mp4,,,
4_4_2_1_np.mp4,24,40,
4_4_3_2_np.mp4,,,
4_4_4_1_np.mp4,,,
4_4_5_1_np.mp4,,,
4_4_6_1_np.mp4,16,24,
4_4_7_2_np.mp4,,,
4_4_8_2_np.mp4,,,
4_5_1_1_np.mp4,,,
4_5_2_1_np.mp4,,,
4_5_3_2_np.mp4,36,53,
4_5_4_1_np.mp4,,,
4_5_5_1_np.mp4,,,
4_6_10_1_np.mp4,,,
4_6_1_1_np.mp4,,,
4_6_2_2_np.mp4,,,
4_6_3_1_np.mp4,15,26,
4_6_4_1_np.mp4,27,42,
4_6_5_2_np.mp4,,,
4_6_6_2_np.mp4,,,
4_6_7_2_np.mp4,,,
4_6_8_1_np.mp4,14,30,
4_6_9_1_np.mp4,,,
4_7_1_1_np.mp4,9,13,
4_7_2_1_np.mp4,,,
4_7_3_1_np.mp4,,,
4_7_4_1_np.mp4,,,
4_7_5_2_np.mp4,,,
4_7_6_1_np.mp4,25,71,123
